r,g,b,h,s,v,c,m,y,k,hex,name
243,234,175,0.1446,0.2798,0.9529,0.0,0.037,0.2798,0.0471,F3EAAF,Sugar Cookie
216,184,99,0.1211,0.5417,0.8471,0.0,0.1481,0.5417,0.1529,D8B863,Sand
227,183,120,0.0981,0.4714,0.8902,0.0,0.1938,0.4714,0.1098,E3B778,Sepia
231,194,125,0.1085,0.4589,0.9059,0.0,0.1602,0.4589,0.0941,E7C27D,Latte
220,215,160,0.1528,0.2727,0.8627,0.0,0.0227,0.2727,0.1373,DCD7A0,Oyster
227,197,101,0.127,0.5551,0.8902,0.0,0.1322,0.5551,0.1098,E3C565,Biscotti
253,233,146,0.1355,0.4229,0.9922,0.0,0.0791,0.4229,0.0078,FDE992,Parmesan
189,165,93,0.125,0.5079,0.7412,0.0,0.127,0.5079,0.2588,BDA55D,Hazelnut
218,193,124,0.1223,0.4312,0.8549,0.0,0.1147,0.4312,0.1451,DAC17C,Sandcastle
253,239,178,0.1356,0.2964,0.9922,0.0,0.0553,0.2964,0.0078,FDEFB2,Buttermilk
237,232,186,0.1503,0.2152,0.9294,0.0,0.0211,0.2152,0.0706,EDE8BA,Sand Dollar
251,231,144,0.1355,0.4263,0.9843,0.0,0.0797,0.4263,0.0157,FBE790,Shortbread
228,208,10,0.1514,0.9561,0.8941,0.0,0.0877,0.9561,0.1059,E4D00A,Citrine
238,220,130,0.1389,0.4538,0.9333,0.0,0.0756,0.4538,0.0667,EEDC82,Flax
238,237,9,0.1659,0.9622,0.9333,0.0,0.0042,0.9622,0.0667,EEED09,Xanthic
255,253,55,0.165,0.7843,1.0,0.0,0.0078,0.7843,0.0,FFFD37,Sunshine Yellow
255,239,0,0.1562,1.0,1.0,0.0,0.0627,1.0,0.0,FFEF00,Canary Yellow
253,255,0,0.168,1.0,1.0,0.0078,0.0,1.0,0.0,FDFF00,Lemon Yellow
238,232,170,0.152,0.2857,0.9333,0.0,0.0252,0.2857,0.0667,EEE8AA,Pale Goldenrod
240,230,140,0.15,0.4167,0.9412,0.0,0.0417,0.4167,0.0588,F0E68C,Light Khaki
252,232,131,0.1391,0.4802,0.9882,0.0,0.0794,0.4802,0.0118,FCE883,Clover Lime
250,218,94,0.1325,0.624,0.9804,0.0,0.128,0.624,0.0196,FADA5E,Royal Yellow
255,215,0,0.1405,1.0,1.0,0.0,0.1569,1.0,0.0,FFD700,Gold
238,210,2,0.1469,0.9916,0.9333,0.0,0.1176,0.9916,0.0667,EED202,Safety Yellow
248,228,115,0.1416,0.5363,0.9725,0.0,0.0806,0.5363,0.0275,F8E473,Laguna
